task,model,dataset,n_seeds,n_points_per_cluster,proj,clustering,cluster distance,representative,k,pool size,recall,map
txt2img,clip,coco,5,20,tsne (pca),hdbscan,50,medoid,10,1000,0.28,0.2
txt2img,clip,coco,10,20,tsne (pca),hdbscan,50,medoid,10,1000,0.12,0.05
txt2img,clip,coco,2,30,tsne (pca),hdbscan,50,medoid,10,1000,0.76,0.5
txt2img,clip,coco,3,30,tsne (pca),hdbscan,50,medoid,10,1000,0.56,0.25
txt2img,clip,coco,5,30,tsne (pca),hdbscan,50,medoid,10,1000,0.32,0.21
txt2img,clip,coco,10,30,tsne (pca),hdbscan,50,medoid,10,1000,0.12,0.08
txt2img,clip,coco,2,5,tsne (pca),agglomerative,5,centroid,10,1000,0.92,0.53
txt2img,clip,coco,3,5,tsne (pca),agglomerative,5,centroid,10,1000,0.96,0.54
txt2img,clip,coco,5,5,tsne (pca),agglomerative,5,centroid,10,1000,0.76,0.41
txt2img,clip,coco,10,5,tsne (pca),agglomerative,5,centroid,10,1000,0.4,0.16
txt2img,clip,coco,2,10,tsne (pca),agglomerative,5,centroid,10,1000,0.96,0.46
txt2img,clip,coco,3,10,tsne (pca),agglomerative,5,centroid,10,1000,0.64,0.31
txt2img,clip,coco,5,10,tsne (pca),agglomerative,5,centroid,10,1000,0.92,0.56
txt2img,clip,coco,10,10,tsne (pca),agglomerative,5,centroid,10,1000,0.68,0.46
txt2img,clip,coco,2,20,tsne (pca),agglomerative,5,centroid,10,1000,0.84,0.45
txt2img,clip,coco,3,20,tsne (pca),agglomerative,5,centroid,10,1000,0.84,0.55
txt2img,clip,coco,5,20,tsne (pca),agglomerative,5,centroid,10,1000,0.96,0.52
txt2img,clip,coco,10,20,tsne (pca),agglomerative,5,centroid,10,1000,0.76,0.45
txt2img,clip,coco,2,30,tsne (pca),agglomerative,5,centroid,10,1000,0.92,0.65
txt2img,clip,coco,3,30,tsne (pca),agglomerative,5,centroid,10,1000,0.88,0.65
txt2img,clip,coco,5,30,tsne (pca),agglomerative,5,centroid,10,1000,1.0,0.61
txt2img,clip,coco,10,30,tsne (pca),agglomerative,5,centroid,10,1000,0.8,0.43
txt2img,clip,coco,2,5,tsne (pca),agglomerative,5,medoid,10,1000,0.96,0.39
txt2img,clip,coco,3,5,tsne (pca),agglomerative,5,medoid,10,1000,0.92,0.53
txt2img,clip,coco,5,5,tsne (pca),agglomerative,5,medoid,10,1000,0.96,0.41
txt2img,clip,coco,10,5,tsne (pca),agglomerative,5,medoid,10,1000,0.4,0.18
